"X1","FEC_ID","STATE","STATE_ABBREVIATION","GENERAL_ELECTION_DATE","FIRST_NAME","LAST_NAME","LAST_NAME_FIRST","TOTAL_VOTES","PARTY","GENERAL_RESULTS","TOTAL_VOTES_","GENERAL_","X","X_1","X_2","X_3"
"113","P20000527","Hawaii","HI","11/4/2008","Ralph","Nader","Nader, Ralph","","I","3825","","0.84%","",,,
"114","P80005580","Hawaii","HI","11/4/2008","Bob","Barr","Barr, Bob","","LBT","1314","","0.29%","",,,
"115","P80005499","Hawaii","HI","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","CON","1013","","0.22%","",,,
"116","P80004930","Hawaii","HI","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GRE","979","","0.22%","",,,
"117","n/a","Hawaii","HI","11/4/2008","","","","Total State Votes; ","","453568","453,568","","",,,
"118","P80002801","Idaho","ID","11/4/2008","John","McCain","McCain, John","","R","403012","","61.52%","",,,
"119","P80003338","Idaho","ID","11/4/2008","Barack","Obama","Obama, Barack","","D","236440","","36.09%","",,,
"120","P20000527","Idaho","ID","11/4/2008","Ralph","Nader","Nader, Ralph","","I","7175","","1.10%","",,,
"121","P80005499","Idaho","ID","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","CON","4747","","0.72%","",,,
"122","P80005580","Idaho","ID","11/4/2008","Bob","Barr","Barr, Bob","","LBT","3658","","0.56%","",,,
"123","P60003076","Idaho","ID","11/4/2008","Alan","Keyes","Keyes, Alan","","W","40","","0.01%","",,,
"124","P80004930","Idaho","ID","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","W","39","","0.01%","",,,
"125","n/a","Idaho","ID","11/4/2008","Santa","Claus","Claus, Santa","","W","6","","0.00%","",,,
"126","P80005275","Idaho","ID","11/4/2008","Brian","Moore","Moore, Brian","","W","3","","0.00%","",,,
"127","n/a","Idaho","ID","11/4/2008","Lawson Mitchell","Bone","Bone, Lawson Mitchell","","W","1","","0.00%","",,,
"128","n/a","Idaho","ID","11/4/2008","Reverend","MerePeace-MsMere","Reverend MerePeace-MsMere","","W","1","","0.00%","",,,
"129","n/a","Idaho","ID","11/4/2008","","","","Total State Votes; ","","655122","655,122","","",,,
"130","P80003338","Illinois","IL","11/4/2008","Barack","Obama","Obama, Barack","","D","3419348","","61.92%","",,,
"131","P80002801","Illinois","IL","11/4/2008","John","McCain","McCain, John","","R","2031179","","36.78%","",,,
"132","P20000527","Illinois","IL","11/4/2008","Ralph","Nader","Nader, Ralph","","I","30948","","0.56%","",,,
"133","P80005580","Illinois","IL","11/4/2008","Bob","Barr","Barr, Bob","","LBT","19642","","0.36%","",,,
"134","P80004930","Illinois","IL","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GRE","11838","","0.21%","",,,
"135","P80005499","Illinois","IL","11/4/2008","Charles O.","Baldwin","Baldwin, Charles O.","","CPI","8256","","0.15%","",,,
"136","n/a","Illinois","IL","11/4/2008","John Joseph","Polachek","Polachek, John Joseph","","NEW","1149","","0.02%","",,,
"137","n/a","Illinois","IL","11/4/2008","Ronald G.","Hobbs","Hobbs, Ronald G.","","W","4","","0.00%","",,,
"138","P80003528","Illinois","IL","11/4/2008","Donald K.","Allen","Allen, Donald K.","","W","3","","0.00%","",,,
"139","n/a","Illinois","IL","11/4/2008","Frank James","Moore","Moore, Frank James","","W","3","","0.00%","",,,
"140","P80000748","Illinois","IL","11/4/2008","Ron","Paul","Paul, Ron","","W","1","","0.00%","",,,
"141","n/a","Illinois","IL","11/4/2008","","","","Total State Votes; ","","5522371","5,522,371","","",,,
"142","P80003338","Indiana","IN","11/4/2008","Barack","Obama","Obama, Barack","","D","1374039","","49.95%","",,,
"143","P80002801","Indiana","IN","11/4/2008","John","McCain","McCain, John","","R","1345648","","48.91%","",,,
"144","P80005580","Indiana","IN","11/4/2008","Bob","Barr","Barr, Bob","","LBT","29257","","1.06%","",,,
"145","P80005499","Indiana","IN","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","W","1024","","0.04%","",,,
"146","P20000527","Indiana","IN","11/4/2008","Ralph","Nader","Nader, Ralph","","W","909","","0.03%","",,,
"147","P80004930","Indiana","IN","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","W","87","","0.00%","",,,
"148","P80005523","Indiana","IN","11/4/2008","Darrell L.","Castle","Castle, Darrell L.","","W","51","","0.00%","",,,
"149","P80005275","Indiana","IN","11/4/2008","Brian","Moore","Moore, Brian","","W","14","","0.00%","",,,
"150","n/a","Indiana","IN","11/4/2008","Michael L.","Faith","Faith, Michael L.","","W","12","","0.00%","",,,
"151","n/a","Indiana","IN","11/4/2008","Kevin","Mottus","Mottus, Kevin","","W","9","","0.00%","",,,
"152","n/a","Indiana","IN","11/4/2008","Lawson Mitchell","Bone","Bone, Lawson Mitchell","","W","2","","0.00%","",,,
"153","n/a","Indiana","IN","11/4/2008","Lou","Kujawski","Kujawski, Lou","","W","1","","0.00%","",,,
"154","n/a","Indiana","IN","11/4/2008","John Leroy","Plemons","Plemons, John Leroy","","W","1","","0.00%","",,,
"155","n/a","Indiana","IN","11/4/2008","","","","Total State Votes; ","","2751054","2,751,054","","",,,
"156","P80003338","Iowa","IA","11/4/2008","Barack","Obama","Obama, Barack","","D","828940","","53.93%","",,,
"157","P80002801","Iowa","IA","11/4/2008","John","McCain","McCain, John","","R","682379","","44.39%","",,,
"158","P20000527","Iowa","IA","11/4/2008","Ralph","Nader","Nader, Ralph","","PAF","8014","","0.52%","",,,
"159","n/a","Iowa","IA","11/4/2008","","Scattered","Scattered ","","W","6737","","0.44%","",,,
"160","P80005580","Iowa","IA","11/4/2008","Bob","Barr","Barr, Bob","","LBT","4590","","0.30%","",,,
"161","P80005499","Iowa","IA","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","CON","4445","","0.29%","",,,
"162","P80004930","Iowa","IA","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GRE","1423","","0.09%","",,,
"163","P60004454","Iowa","IA","11/4/2008","James","Harris","Harris, James","","SWP","292","","0.02%","",,,
"164","P80005275","Iowa","IA","11/4/2008","Brian","Moore","Moore, Brian","","SOC","182","","0.01%","",,,
"165","P80005572","Iowa","IA","11/4/2008","Gloria","La Riva","La Riva, Gloria","","PSL","121","","0.01%","",,,
"166","n/a","Iowa","IA","11/4/2008","","","","Total State Votes; ","","1537123","1,537,123","","",,,
"167","P80002801","Kansas","KS","11/4/2008","John","McCain","McCain, John","","R","699655","","56.61%","",,,
"168","P80003338","Kansas","KS","11/4/2008","Barack","Obama","Obama, Barack","","D","514765","","41.65%","",,,
"169","P20000527","Kansas","KS","11/4/2008","Ralph","Nader","Nader, Ralph","","I","10527","","0.85%","",,,
"170","P80005580","Kansas","KS","11/4/2008","Bob","Barr","Barr, Bob","","LBT","6706","","0.54%","",,,
"171","P80005499","Kansas","KS","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","REF","4148","","0.34%","",,,
"172","P80004930","Kansas","KS","11/4/2008","Cynthia A.","McKinney","McKinney, Cynthia A.","","W","35","","0.00%","",,,
"173","P60003076","Kansas","KS","11/4/2008","Alan","Keyes","Keyes, Alan","","W","31","","0.00%","",,,
"174","P80005119","Kansas","KS","11/4/2008","Jonathan E.","Allen","Allen, Jonathan E.","","W","2","","0.00%","",,,
"175","n/a","Kansas","KS","11/4/2008","Frank","Moore","Moore, Frank","","W","2","","0.00%","",,,
"176","P60003530","Kansas","KS","11/4/2008","Keith Russell","Judd","Judd, Keith Russell","","W","1","","0.00%","",,,
"177","n/a","Kansas","KS","11/4/2008","","","","Total State Votes; ","","1235872","1,235,872","","",,,
"178","P80002801","Kentucky","KY","11/4/2008","John","McCain","McCain, John","","R","1048462","","57.40%","",,,
"179","P80003338","Kentucky","KY","11/4/2008","Barack","Obama","Obama, Barack","","D","751985","","41.17%","",,,
"180","P20000527","Kentucky","KY","11/4/2008","Ralph","Nader","Nader, Ralph","","I","15378","","0.84%","",,,
"181","P80005580","Kentucky","KY","11/4/2008","Bob","Barr","Barr, Bob","","LBT","5989","","0.33%","",,,
"182","P80005499","Kentucky","KY","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","CON","4694","","0.26%","",,,
"183","n/a","Kentucky","KY","11/4/2008","Leonard C.","Habermehl","Habermehl, Leonard C.","","W","57","","0.00%","",,,
"184","P60003076","Kentucky","KY","11/4/2008","Alan","Keyes","Keyes, Alan","","W","27","","0.00%","",,,
"185","n/a","Kentucky","KY","11/4/2008","Billy","Mills","Mills, Billy","","W","18","","0.00%","",,,
"186","P80005275","Kentucky","KY","11/4/2008","Brian","Moore","Moore, Brian","","W","7","","0.00%","",,,
"187","P80005119","Kentucky","KY","11/4/2008","Jonathan","Allen","Allen, Jonathan","","W","1","","0.00%","",,,
"188","P60003530","Kentucky","KY","11/4/2008","Keith Russell","Judd","Judd, Keith Russell","","W","1","","0.00%","",,,
"189","n/a","Kentucky","KY","11/4/2008","Shelley Rene","Upchurch","Upchurch, Shelley Rene","","W","1","","0.00%","",,,
"190","n/a","Kentucky","KY","11/4/2008","","","","Total State Votes; ","","1826620","1,826,620","","",,,
"191","P80002801","Louisiana","LA","11/4/2008","John","McCain","McCain, John","","R","1148275","","58.56%","",,,
"192","P80003338","Louisiana","LA","11/4/2008","Barack","Obama","Obama, Barack","","D","782989","","39.93%","",,,
"193","P80000748","Louisiana","LA","11/4/2008","Ron","Paul","Paul, Ron","","LTX","9368","","0.48%","",,,
"194","P80004930","Louisiana","LA","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GRE","9187","","0.47%","",,,
"195","P20000527","Louisiana","LA","11/4/2008","Ralph","Nader","Nader, Ralph","","I","6997","","0.36%","",,,
"196","P80005499","Louisiana","LA","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","CON","2581","","0.13%","",,,
"197","P60004454","Louisiana","LA","11/4/2008","James","Harris","Harris, James","","SWP","735","","0.04%","",,,
"198","P80005572","Louisiana","LA","11/4/2008","Gloria","La Riva","La Riva, Gloria","","SLP","354","","0.02%","",,,
"199","n/a","Louisiana","LA","11/4/2008","Gene C.","Amondson","Amondson, Gene C.","","P","275","","0.01%","",,,
"200","n/a","Louisiana","LA","11/4/2008","","","","Total State Votes; ","","1960761","1,960,761","","",,,
"201","P80003338","Maine","ME","11/4/2008","Barack","Obama","Obama, Barack","","D","421923","","57.71%","",,,
"202","P80002801","Maine","ME","11/4/2008","John","McCain","McCain, John","","R","295273","","40.38%","",,,
"203","P20000527","Maine","ME","11/4/2008","Ralph","Nader","Nader, Ralph","","I","10636","","1.45%","",,,
"204","P80004930","Maine","ME","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GI","2900","","0.40%","",,,
"205","P80005580","Maine","ME","11/5/2008","Bob","Barr","Barr, Bob","","W","251","","0.03%","",,,
"206","P80005499","Maine","ME","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","W","177","","0.02%","",,,
"207","P80005119","Maine","ME","11/4/2008","Jonathan","Allen","Allen, Jonathan","","W","3","","0.00%","",,,
"208","n/a","Maine","ME","11/4/2008","","","","Total State Votes; ","","731163","731,163","","",,,
"209","P80003338","Maryland","MD","11/4/2008","Barack","Obama","Obama, Barack","","D","1629467","","61.92%","",,,
"210","P80002801","Maryland","MD","11/4/2008","John","McCain","McCain, John","","R","959862","","36.47%","",,,
"211","P20000527","Maryland","MD","11/4/2008","Ralph","Nader","Nader, Ralph","","I","14713","","0.56%","",,,
"212","P80005580","Maryland","MD","11/4/2008","Bob","Barr","Barr, Bob","","LBT","9842","","0.37%","",,,
"213","n/a","Maryland","MD","11/4/2008","","Scattered","Scattered ","","W","9043","","0.34%","",,,
"214","P80004930","Maryland","MD","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GRE","4747","","0.18%","",,,
"215","P80005499","Maryland","MD","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","CON","3760","","0.14%","",,,
"216","P60003076","Maryland","MD","11/4/2008","Alan","Keyes","Keyes, Alan","","W","103","","0.00%","",,,
"217","P80003528","Maryland","MD","11/4/2008","Donald K.","Allen","Allen, Donald K.","","W","17","","0.00%","",,,
"218","n/a","Maryland","MD","11/4/2008","Blaine","Taylor","Taylor, Blaine","","W","12","","0.00%","",,,
"219","P80005275","Maryland","MD","11/4/2008","Brian","Moore","Moore, Brian","","W","10","","0.00%","",,,
"220","P00003962","Maryland","MD","11/4/2008","Joe","Schriner","Schriner, Joe","","W","8","","0.00%","",,,
"221","n/a","Maryland","MD","11/4/2008","Lynne A.","Starr","Starr, Lynne A.","","W","4","","0.00%","",,,
"222","n/a","Maryland","MD","11/4/2008","RaeDeen R.","Heupel","Heupel, RaeDeen R.","","W","2","","0.00%","",,,
"223","n/a","Maryland","MD","11/4/2008","Frank","Moore","Moore, Frank","","W","2","","0.00%","",,,
"224","P80004849","Maryland","MD","11/4/2008","Jose M.","Aparicio","Aparicio, Jose M.","","W","1","","0.00%","",,,
"225","n/a","Maryland","MD","11/4/2008","Theodis (Ted), Sr.","Brown","Brown, Theodis (Ted), Sr.","","W","1","","0.00%","",,,
"226","n/a","Maryland","MD","11/4/2008","Ronald G.","Hobbs","Hobbs, Ronald G.","","W","1","","0.00%","",,,
"227","n/a","Maryland","MD","11/4/2008","Charles","Jay","Jay, Charles","","W","1","","0.00%","",,,
"228","n/a","Maryland","MD","11/4/2008","","","","Total State Votes; ","","2631596","2,631,596","","",,,
"229","P80003338","Massachusetts","MA","11/4/2008","Barack","Obama","Obama, Barack","","D","1904097","","61.80%","",,,
"230","P80002801","Massachusetts","MA","11/4/2008","John","McCain","McCain, John","","R","1108854","","35.99%","",,,
"231","P20000527","Massachusetts","MA","11/4/2008","Ralph","Nader","Nader, Ralph","","I","28841","","0.94%","",,,
"232","n/a","Massachusetts","MA","11/4/2008","","Scattered","Scattered ","","W","14483","","0.47%","",,,
"233","P80005580","Massachusetts","MA","11/4/2008","Bob","Barr","Barr, Bob","","LBT","13189","","0.43%","",,,
"234","P80004930","Massachusetts","MA","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GR","6550","","0.21%","",,,
"235","P80005499","Massachusetts","MA","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","CON","4971","","0.16%","",,,
"236","n/a","Massachusetts","MA","11/4/2008","","","","Total State Votes; ","","3080985","3,080,985","","",,,
"237","P80003338","Michigan","MI","11/4/2008","Barack","Obama","Obama, Barack","","D","2872579","","57.43%","",,,
"238","P80002801","Michigan","MI","11/4/2008","John","McCain","McCain, John","","R","2048639","","40.96%","",,,
